,Code,Code6,CommonName,GenusSpecies
818,CHPH,ARDBAC,Chinese Pond-Heron,Ardeola bacchus
819,GREG,ARDALB,Great Egret,Ardea alba
820,MEEG,ARDINT,Medium Egret,Ardea intermedia
821,WECE,ARDIBI,Western Cattle-Egret,Ardea ibis
822,EACE,ARDCOR,Eastern Cattle-Egret,Ardea coromanda
823,GRAH,ARDCIN,Gray Heron,Ardea cinerea
824,GBHE,ARDHER,Great Blue Heron,Ardea herodias
825,GWHE,ARDHOC,Great White Heron,Ardea herodias occidentalis
826,COHE,ARDCOC,Cocoi Heron,Ardea cocoi
827,PUHE,ARDPUR,Purple Heron,Ardea purpurea
828,WHIB,EUDALB,White Ibis,Eudocimus albus
829,SCIB,EUDRUB,Scarlet Ibis,Eudocimus ruber
830,GLIB,PLEFAL,Glossy Ibis,Plegadis falcinellus
831,WFIB,PLECHI,White-faced Ibis,Plegadis chihi
832,GRIB,MESCAY,Green Ibis,Mesembrinibis cayennensis
833,BNIB,THECAU,Buff-necked Ibis,Theristicus caudatus
834,EURS,PLALEU,Eurasian Spoonbill,Platalea leucorodia
835,ROSP,PLAAJA,Roseate Spoonbill,Platalea ajaja
836,CACO,GYMCAL,California Condor,Gymnogyps californianus
837,KIVU,SARPAP,King Vulture,Sarcoramphus papa
838,BLVU,CORATR,Black Vulture,Coragyps atratus
839,TUVU,CAEAUR,Turkey Vulture,Cathartes aura
840,LYHV,CATBUR,Lesser Yellow-headed Vulture,Cathartes burrovianus
841,OSPR,PANHAL,Osprey,Pandion haliaetus
842,PEKI,GAMSWA,Pearl Kite,Gampsonyx swainsonii
843,WTKI,ELALEU,White-tailed Kite,Elanus leucurus
844,HBKI,CHOUNC,Hook-billed Kite,Chondrohierax uncinatus
845,CUKI,CHOWIL,Cuban Kite,Chondrohierax wilsonii
846,GHKI,LEPCAY,Gray-headed Kite,Leptodon cayanensis
847,STKI,ELAFOR,Swallow-tailed Kite,Elanoides forficatus
848,CREA,MORGUI,Crested Eagle,Morphnus guianensis
849,HAEA,HARHAR,Harpy Eagle,Harpia harpyja
850,GOEA,AQUCHR,Golden Eagle,Aquila chrysaetos
851,BLHE,SPITYR,Black Hawk-Eagle,Spizaetus tyrannus
852,BAWH,SPIMEL,Black-and-white Hawk-Eagle,Spizaetus melanoleucus
853,ORHE,SPIORN,Ornate Hawk-Eagle,Spizaetus ornatus
854,DTKI,HARBID,Double-toothed Kite,Harpagus bidentatus
855,TIHA,MICSUP,Tiny Hawk,Microspizias superciliosus
856,NOHA,CIRHUD,Northern Harrier,Circus hudsonius
857,LWHA,CIRBUF,Long-winged Harrier,Circus buffoni
858,WMHA,CIRAER,Western Marsh Harrier,Circus aeruginosus
859,GBEH,ACCPOL,Gray-bellied Hawk,Accipiter poliogaster
860,CHIS,ACCSOL,Chinese Sparrowhawk,Accipiter soloensis
861,SSHA,ACCSTR,Sharp-shinned Hawk,Accipiter striatus
862,PSSH,ACCSTV,Puerto Rican Sharp-shinned Hawk,Accipiter striatus venator
863,COHA,ACCCOO,Cooper's Hawk,Accipiter cooperii
864,GUHA,ACCGUN,Gundlach's Hawk,Accipiter gundlachi
865,BIHA,ACCBIC,Bicolored Hawk,Accipiter bicolor
866,EGOS,ACCGEN,Eurasian Goshawk,Accipiter gentilis
867,AGOS,ACCATR,American Goshawk,Accipiter atricapillus
868,UAHA,ACCSPE,Unidentified Accipiter Hawk,Accipiter (sp)
869,BLAK,MILMIG,Black Kite,Milvus migrans
870,BAEA,HALLEU,Bald Eagle,Haliaeetus leucocephalus
871,WTEA,HALALB,White-tailed Eagle,Haliaeetus albicilla
872,STSE,HALPEL,Steller's Sea-Eagle,Haliaeetus pelagicus
873,MIKI,ICTMIS,Mississippi Kite,Ictinia mississippiensis
874,PLKI,ICTPLU,Plumbeous Kite,Ictinia plumbea
875,BCHA,BUSNIG,Black-collared Hawk,Busarellus nigricollis
876,CRHA,GERCAE,Crane Hawk,Geranospiza caerulescens
877,SNKI,ROSSOC,Snail Kite,Rostrhamus sociabilis
878,SBKI,HELHAM,Slender-billed Kite,Helicolestes hamatus
879,PLHA,CRYPLU,Plumbeous Hawk,Cryptoleucopteryx plumbea
880,COBH,BUTANT,Common Black Hawk,Buteogallus anthracinus
881,CUBH,BUTGUN,Cuban Black Hawk,Buteogallus gundlachii
882,SAHA,BUTMER,Savanna Hawk,Buteogallus meridionalis
883,GBHA,BUTURU,Great Black Hawk,Buteogallus urubitinga
884,SOEA,BUGSOL,Solitary Eagle,Buteogallus solitarius
885,BAHA,MORPRI,Barred Hawk,Morphnarchus princeps
886,ROHA,RUPMAG,Roadside Hawk,Rupornis magnirostris
887,HAHA,PARUNI,Harris's Hawk,Parabuteo unicinctus
888,WTHA,GERALB,White-tailed Hawk,Geranoaetus albicaudatus
889,WHHA,PSEALB,White Hawk,Pseudastur albicollis
890,SEHA,LEUSEL,Semiplumbeous Hawk,Leucopternis semiplumbeus
891,GRHA,BUTPLG,Gray Hawk,Buteo plagiatus
892,GLHA,BUTNIT,Gray-lined Hawk,Buteo nitidus
893,RSHA,BUTLIN,Red-shouldered Hawk,Buteo lineatus
894,RIHA,BUTRID,Ridgway's Hawk,Buteo ridgwayi
895,BWHA,BUTPLT,Broad-winged Hawk,Buteo platypterus
896,PBWH,BUTPLB,Puerto Rican Broad-winged Hawk,Buteo platypterus brunnescens
897,HAWH,BUESOL,Hawaiian Hawk,Buteo solitarius
898,STHA,BUTBRA,Short-tailed Hawk,Buteo brachyurus
899,SWHA,BUTSWA,Swainson's Hawk,Buteo swainsoni
900,ZTHA,BUTALB,Zone-tailed Hawk,Buteo albonotatus
901,RTHA,BUTJAM,Red-tailed Hawk,Buteo jamaicensis
902,HRLH,BUTJHA,Harlan's Hawk,Buteo jamaicensis harlani
903,RLHA,BUTLAG,Rough-legged Hawk,Buteo lagopus
904,FEHA,BUTREG,Ferruginous Hawk,Buteo regalis
905,LLBU,BUTRUF,Long-legged Buzzard,Buteo rufinus
906,UNHA,ACCGSP,Unidentified Hawk,"Accipitridae (gen, sp)"
907,ABOW,TYTFUR,American Barn Owl,Tyto furcata
908,AFOW,TYTGLA,Ashy-faced Owl,Tyto glaucops
909,ORSO,OTUSUN,Oriental Scops-Owl,Otus sunia
910,FLOW,PSIFLA,Flammulated Owl,Psiloscops flammeolus
911,PRIO,GYSNUD,Puerto Rican Owl,Gymnasio nudipes
912,WHSO,MEGTRI,Whiskered Screech-Owl,Megascops trichopsis
913,BSSO,MEGCLA,Bare-shanked Screech-Owl,Megascops clarkii
914,TRSO,MEGCHO,Tropical Screech-Owl,Megascops choliba
915,BESO,MEGBAR,Bearded Screech-Owl,Megascops barbarus
916,PASO,MEGCOO,Pacific Screech-Owl,Megascops cooperi
917,WESO,MEGKEN,Western Screech-Owl,Megascops kennicottii
918,EASO,MEGASI,Eastern Screech-Owl,Megascops asio
919,BASO,MEGSED,Balsas Screech-Owl,Megascops seductus
920,MASO,MEGGUA,Middle American Screech-Owl,Megascops guatemalae
921,CHSO,MEGCEN,Choco Screech-Owl,Megascops centralis
922,BLOW,MARLAW,Bare-legged Owl,Margarobyas lawrencii
923,CROW,LOPCRI,Crested Owl,Lophostrix cristata
924,SPEO,PULPER,Spectacled Owl,Pulsatrix perspicillata
925,GHOW,BUBVIR,Great Horned Owl,Bubo virginianus
926,SNOW,BUBSCA,Snowy Owl,Bubo scandiacus
927,NHOW,SURULU,Northern Hawk Owl,Surnia ulula
928,NOPO,GLAGNO,Northern Pygmy-Owl,Glaucidium gnoma
929,CRPO,GLACOS,Costa Rican Pygmy-Owl,Glaucidium costaricanum
930,CAPO,GLAGRI,Central American Pygmy-Owl,Glaucidium griseiceps
931,TAPO,GLASAN,Tamaulipas Pygmy-Owl,Glaucidium sanchezi
932,CPYO,GLAPAL,Colima Pygmy-Owl,Glaucidium palmarum
933,FEPO,GLABRA,Ferruginous Pygmy-Owl,Glaucidium brasilianum
934,CUPO,GLASIJ,Cuban Pygmy-Owl,Glaucidium siju
935,ELOW,MICWHI,Elf Owl,Micrathene whitneyi
936,BUOW,ATHCUN,Burrowing Owl,Athene cunicularia
937,SPOW,STROCC,Spotted Owl,Strix occidentalis
938,CSOW,STROCO,California Spotted Owl,Strix occidentalis occidentalis
939,NSOW,STROCA,Northern Spotted Owl,Strix occidentalis caurina
940,MSOW,STROCL,Mexican Spotted Owl,Strix occidentalis lucida
941,SBOH,STROCV,Spotted x Barred Owl Hybrid,Strix occidentalis x varia
942,BAOW,STRVAR,Barred Owl,Strix varia
943,CIOW,STRSAR,Cinereous Owl,Strix sartorii
944,FUOW,STRFUL,Fulvous Owl,Strix fulvescens
945,MOOW,STRVIR,Mottled Owl,Strix virgata
946,BLWO,STRNIG,Black-and-white Owl,Strix nigrolineata
947,GGOW,STRNEB,Great Gray Owl,Strix nebulosa
948,LEOW,ASIOTU,Long-eared Owl,Asio otus
949,STOW,ASISTY,Stygian Owl,Asio stygius
950,SEOW,ASIFLA,Short-eared Owl,Asio flammeus
951,STRO,ASICLA,Striped Owl,Asio clamator
952,JAOW,ASIGRA,Jamaican Owl,Asio grammicus
953,BOOW,AEGFUN,Boreal Owl,Aegolius funereus
954,NSWO,AEGACA,Northern Saw-whet Owl,Aegolius acadicus
955,USWO,AEGRID,Unspotted Saw-whet Owl,Aegolius ridgwayi
956,NOBB,NINJAP,Northern Boobook,Ninox japonica
957,UNOW,STRGSP,Unidentified Owl,"Strigidae (gen, sp)"
958,CUTR,PRITEM,Cuban Trogon,Priotelus temnurus
959,HITR,PRIROS,Hispaniolan Trogon,Priotelus roseigaster
960,LTTR,TROCLA,Lattice-tailed Trogon,Trogon clathratus
961,STTR,TROMAS,Slaty-tailed Trogon,Trogon massena
962,BTAT,TROMER,Black-tailed Trogon,Trogon melanurus
963,BHTR,TROMEC,Black-headed Trogon,Trogon melanocephalus
964,CITR,TROCIT,Citreoline Trogon,Trogon citreolus
965,WTAT,TROCHI,White-tailed Trogon,Trogon chionurus
966,BATR,TROBAI,Baird's Trogon,Trogon bairdii
967,GATR,TROCAL,Gartered Trogon,Trogon caligatus
968,BTHT,TRORUS,Black-throated Trogon,Trogon rufus
969,ELTR,TROELE,Elegant Trogon,Trogon elegans
970,MOTR,TROMEX,Mountain Trogon,Trogon mexicanus
971,COTR,TROCOL,Collared Trogon,Trogon collaris
972,OBTR,TROCAU,Orange-bellied Trogon,Trogon collaris aurantiiventris
973,EAQU,EUPNEO,Eared Quetzal,Euptilotis neoxenus
974,GHQU,PHAAUR,Golden-headed Quetzal,Pharomachrus auriceps
975,REQU,PHAMOC,Resplendent Quetzal,Pharomachrus mocinno
976,EHOO,UPUEPO,Eurasian Hoopoe,Upupa epops
977,CUTO,TODMUL,Cuban Tody,Todus multicolor
978,BBTO,TODSUB,Broad-billed Tody,Todus subulatus
979,NBTO,TODANG,Narrow-billed Tody,Todus angustirostris
980,JATO,TODTOD,Jamaican Tody,Todus todus
981,PRTO,TODMEX,Puerto Rican Tody,Todus mexicanus
982,TOMO,HYLMOM,Tody Motmot,Hylomanes momotula
983,BTMO,ASPGUL,Blue-throated Motmot,Aspatha gularis
984,RCMO,MOMMEX,Russet-crowned Motmot,Momotus mexicanus
985,BCMO,MOMCOE,Blue-capped Motmot,Momotus coeruliceps
986,LEMO,MOMLES,Lesson's Motmot,Momotus lessonii
987,WHMO,MOMSUB,Whooping Motmot,Momotus subrufescens
988,RMOT,BARMAR,Rufous Motmot,Baryphthengus martii
989,KBMO,ELECAR,Keel-billed Motmot,Electron carinatum
990,BBMO,ELEPLA,Broad-billed Motmot,Electron platyrhynchum
991,TBMO,EUMSUP,Turquoise-browed Motmot,Eumomota superciliosa
992,RIKI,MEGTOR,Ringed Kingfisher,Megaceryle torquata
993,BEKI,MEGALC,Belted Kingfisher,Megaceryle alcyon
994,AMKI,CHLAMA,Amazon Kingfisher,Chloroceryle amazona
995,APKI,CHLAEN,American Pygmy Kingfisher,Chloroceryle aenea
996,GKIN,CHLAME,Green Kingfisher,Chloroceryle americana
997,GARK,CHLIND,Green-and-rufous Kingfisher,Chloroceryle inda
998,BAPU,NYSRAD,Barred Puffbird,Nystalus radiatus
999,WNPU,NOTHYP,White-necked Puffbird,Notharchus hyperrhynchus
1000,BBPU,NOTPEC,Black-breasted Puffbird,Notharchus pectoralis
1001,PIPU,NOTTEC,Pied Puffbird,Notharchus tectus
1002,WWPU,MALPAN,White-whiskered Puffbird,Malacoptila panamensis
1003,LAMO,MICLAN,Lanceolated Monklet,Micromonacha lanceolata
1004,GCNU,NONFRO,Gray-cheeked Nunlet,Nonnula frontalis
1005,WFNU,MONMOR,White-fronted Nunbird,Monasa morphoeus
1006,DBJA,BRASAL,Dusky-backed Jacamar,Brachygalba salmoni
1007,RTJA,GALRUF,Rufous-tailed Jacamar,Galbula ruficauda
1008,GREJ,JACAUR,Great Jacamar,Jacamerops aureus
1009,SCBA,CAPMAC,Spot-crowned Barbet,Capito maculicoronatus
1010,RHBA,EUBBOU,Red-headed Barbet,Eubucco bourcierii
1011,PBBA,SEMFRA,Prong-billed Barbet,Semnornis frantzii
1012,NOET,AULPRA,Northern Emerald-Toucanet,Aulacorhynchus prasinus
1013,COAR,PTETOR,Collared Aracari,Pteroglossus torquatus
1014,FBAR,PTEFRA,Fiery-billed Aracari,Pteroglossus frantzii
1015,YETO,SELSPT,Yellow-eared Toucanet,Selenidera spectabilis
1016,KBTO,RAMSUL,Keel-billed Toucan,Ramphastos sulfuratus
1017,YTTO,RAMAMB,Yellow-throated Toucan,Ramphastos ambiguus
1018,EUWR,JYNTOR,Eurasian Wryneck,Jynx torquilla
1019,OLPI,PICOLI,Olivaceous Piculet,Picumnus olivaceus
1020,ANPI,NESMIC,Antillean Piculet,Nesoctites micromegas
1021,LEWO,MELLEW,Lewis's Woodpecker,Melanerpes lewis
1022,GUWO,MELHER,Guadeloupe Woodpecker,Melanerpes herminieri
1023,PRWO,MENPOR,Puerto Rican Woodpecker,Melanerpes portoricensis
1024,RHWO,MELERY,Red-headed Woodpecker,Melanerpes erythrocephalus
1025,ACWO,MELFOR,Acorn Woodpecker,Melanerpes formicivorus
1026,GNWO,MELCHC,Golden-naped Woodpecker,Melanerpes chrysauchen
1027,BCWO,MELPUC,Black-cheeked Woodpecker,Melanerpes pucherani
1028,HIWO,MELSTR,Hispaniolan Woodpecker,Melanerpes striatus
1029,JAWO,MELRAD,Jamaican Woodpecker,Melanerpes radiolatus
1030,GCHW,MELCHG,Golden-cheeked Woodpecker,Melanerpes chrysogenys
1031,GBWO,MELHYI,Gray-breasted Woodpecker,Melanerpes hypopolius
1032,YUWO,MELPYG,Yucatan Woodpecker,Melanerpes pygmaeus
1033,RCRW,MELRUB,Red-crowned Woodpecker,Melanerpes rubricapillus
1034,GIWO,MELURO,Gila Woodpecker,Melanerpes uropygialis
1035,HOWO,MELHOF,Hoffmann's Woodpecker,Melanerpes hoffmannii
1036,GFWO,MELAUR,Golden-fronted Woodpecker,Melanerpes aurifrons
1037,RBWO,MELCAR,Red-bellied Woodpecker,Melanerpes carolinus
1038,WIWO,MELSUP,West Indian Woodpecker,Melanerpes superciliaris
1039,WISA,SPHTHY,Williamson's Sapsucker,Sphyrapicus thyroideus
1040,YBSA,SPHVAR,Yellow-bellied Sapsucker,Sphyrapicus varius
1041,RNSA,SPHNUC,Red-naped Sapsucker,Sphyrapicus nuchalis
1042,RBSA,SPHRUB,Red-breasted Sapsucker,Sphyrapicus ruber
1043,HYSA,SPHHYB,Hybrid Sapsucker,Sphyrapicus hybrid
1044,UNSA,SPHSPE,Unidentified Sapsucker,Sphyrapicus (sp)
1045,CGWO,XIPPER,Cuban Green Woodpecker,Xiphidiopicus percussus
1046,ATTW,PICDOR,American Three-toed Woodpecker,Picoides dorsalis
1047,BBWO,PICARC,Black-backed Woodpecker,Picoides arcticus
1048,GSWO,DENMAJ,Great Spotted Woodpecker,Dendrocopos major
1049,DOWO,DRYPUB,Downy Woodpecker,Dryobates pubescens
1050,NUWO,DRYNUT,Nuttall's Woodpecker,Dryobates nuttallii
1051,LBWO,DRYSCA,Ladder-backed Woodpecker,Dryobates scalaris
1052,RCWO,DRYBOR,Red-cockaded Woodpecker,Dryobates borealis
1053,HAWO,DRYVIL,Hairy Woodpecker,Dryobates villosus
1054,WHWO,DRYALB,White-headed Woodpecker,Dryobates albolarvatus
1055,SMBW,DRYFUM,Smoky-brown Woodpecker,Dryobates fumigatus
1056,ARWO,DRYARI,Arizona Woodpecker,Dryobates arizonae
1057,STCW,DRYSTR,Strickland's Woodpecker,Dryobates stricklandi
1058,RRWO,DRYKIR,Red-rumped Woodpecker,Dryobates kirkii
1059,RWWO,PICSIM,Rufous-winged Woodpecker,Piculus simplex
1060,SCHW,PICCAL,Stripe-cheeked Woodpecker,Piculus callopterus
1061,GGWO,PICCHR,Golden-green Woodpecker,Piculus chrysochloros
1062,GOWO,COLRUB,Golden-olive Woodpecker,Colaptes rubiginosus
1063,GRCW,COLAUC,Gray-crowned Woodpecker,Colaptes auricularis
1064,SBWP,COLPUN,Spot-breasted Woodpecker,Colaptes punctigula
1065,NOFL,COLAUT,Northern Flicker,Colaptes auratus
1066,GUFL,COLMEX,Guatemalan Flicker,Colaptes mexicanoides
1067,YSFL,COLAAU,Yellow-shafted Flicker,Colaptes auratus auratus
1068,FLIN,COLAAC,Flicker Intergrade,Colaptes auratus auratus x cafer
1069,RSFL,COLACA,Red-shafted Flicker,Colaptes auratus cafer
1070,GIFL,COLCHR,Gilded Flicker,Colaptes chrysoides
1071,FEFL,COLFER,Fernandina's Flicker,Colaptes fernandinae
1072,CIWO,CELLOR,Cinnamon Woodpecker,Celeus loricatus
1073,CCOW,CELCAS,Chestnut-colored Woodpecker,Celeus castaneus
1074,LIWO,DRYLIN,Lineated Woodpecker,Dryocopus lineatus
1075,PIWO,DRYPIL,Pileated Woodpecker,Dryocopus pileatus
1076,CBWO,CAMHAE,Crimson-bellied Woodpecker,Campephilus haematogaster
1077,CCRW,CAMMEL,Crimson-crested Woodpecker,Campephilus melanoleucos
1078,PBIW,CAMGUA,Pale-billed Woodpecker,Campephilus guatemalensis
1079,IBWO,CAMPRI,Ivory-billed Woodpecker,Campephilus principalis
1080,IMWO,CAMIMP,Imperial Woodpecker,Campephilus imperialis
1081,UNWO,PICGSP,Unidentified Woodpecker,"Picinae (gen, sp)"
1082,LAFA,HERCAC,Laughing Falcon,Herpetotheres cachinnans
1083,BAFF,MICRUF,Barred Forest-Falcon,Micrastur ruficollis
1084,SBFF,MICMIR,Slaty-backed Forest-Falcon,Micrastur mirandollei
1085,COFF,MICSEM,Collared Forest-Falcon,Micrastur semitorquatus
1086,RTCA,IBYAME,Red-throated Caracara,Ibycter americanus
1087,CRCA,CARPLA,Crested Caracara,Caracara plancus
1088,ACCA,CARPLU,Audubon's Crested Caracara,Caracara plancus audubonii
1089,GUCA,CARLUT,Guadalupe Caracara,Caracara lutosa
1090,YHCA,MILCHI,Yellow-headed Caracara,Milvago chimachima
1091,EUKE,FALTIN,Eurasian Kestrel,Falco tinnunculus
1092,AMKE,FALSPA,American Kestrel,Falco sparverius
1093,RFFA,FALVES,Red-footed Falcon,Falco vespertinus
1094,MERL,FALCOL,Merlin,Falco columbarius
1095,EHOB,FALSUB,Eurasian Hobby,Falco subbuteo
1096,APFA,FALFEM,Aplomado Falcon,Falco femoralis
1097,BAFA,FALRUF,Bat Falcon,Falco rufigularis
1098,OBFA,FALDEI,Orange-breasted Falcon,Falco deiroleucus
1099,GYRF,FALRUS,Gyrfalcon,Falco rusticolus
1100,PEFA,FALPER,Peregrine Falcon,Falco peregrinus
1101,PRFA,FALMEX,Prairie Falcon,Falco mexicanus
1102,PAIP,PYRPIC,Painted Parakeet,Pyrrhura picta
1103,SWPA,PYRHOF,Sulphur-winged Parakeet,Pyrrhura hoffmanni
1104,MOPA,MYIMON,Monk Parakeet,Myiopsitta monachus
1105,CAPA,CONCAL,Carolina Parakeet,Conuropsis carolinensis
1106,OTPA,EUPNAN,Olive-throated Parakeet,Eupsittula nana
1107,OFPA,EUPCAN,Orange-fronted Parakeet,Eupsittula canicularis
1108,BTPA,EUPPER,Brown-throated Parakeet,Eupsittula pertinax
1109,NAPA,ARANEN,Nanday Parakeet,Aratinga nenday
1110,BAYM,ARAARA,Blue-and-yellow Macaw,Ara ararauna
1111,CFMA,ARASEV,Chestnut-fronted Macaw,Ara severus
1112,CUBM,ARATRI,Cuban Macaw,Ara tricolor
1113,SCMA,ARAMAC,Scarlet Macaw,Ara macao
1114,RAGM,ARACHL,Red-and-green Macaw,Ara chloropterus
1115,MIMA,ARAMIL,Military Macaw,Ara militaris
1116,GGMA,ARAAMB,Great Green Macaw,Ara ambiguus
1117,GREP,PSIHOL,Green Parakeet,Psittacara holochlorus
1118,SOPA,PSIBRE,Socorro Parakeet,Psittacara brevipes
1119,PACP,PSISTR,Pacific Parakeet,Psittacara strenuus
1120,MIPA,PSIMIT,Mitred Parakeet,Psittacara mitratus
1121,RMPA,PSIERY,Red-masked Parakeet,Psittacara erythrogenys
1122,CFPA,PSIFIN,Crimson-fronted Parakeet,Psittacara finschi
1123,CPAK,PSIEUO,Cuban Parakeet,Psittacara euops
1124,PRPK,PSIMAU,Puerto Rican Parakeet,Psittacara maugei
1125,HPAK,PSICHL,Hispaniolan Parakeet,Psittacara chloropterus
1126,TBPA,RHYPAC,Thick-billed Parrot,Rhynchopsitta pachyrhyncha
1127,MFPA,RHYTER,Maroon-fronted Parrot,Rhynchopsitta terrisi
1128,BAPA,BOLLIN,Barred Parakeet,Bolborhynchus lineola
1129,MEXP,FORCYA,Mexican Parrotlet,Forpus cyanopygius
1130,GRUP,FORPAS,Green-rumped Parrotlet,Forpus passerinus
1131,SPPA,FORCON,Spectacled Parrotlet,Forpus conspicillatus
1132,OCPA,BROJUG,Orange-chinned Parakeet,Brotogeris jugularis
1133,WWPA,BROVER,White-winged Parakeet,Brotogeris versicolurus
1134,YCPA,BROCHI,Yellow-chevroned Parakeet,Brotogeris chiriri
1135,RFPA,TOUCOS,Red-fronted Parrotlet,Touit costaricensis
1136,BFPA,TOUDIL,Blue-fronted Parrotlet,Touit dilectissimus
1137,BHOP,PYRHAE,Brown-hooded Parrot,Pyrilia haematotis
1138,SHPA,PYRPYI,Saffron-headed Parrot,Pyrilia pyrilia
1139,BHEP,PIOMEN,Blue-headed Parrot,Pionus menstruus
1140,WCPA,PIOSEN,White-crowned Parrot,Pionus senilis
1141,WFPA,AMAALB,White-fronted Parrot,Amazona albifrons
1142,YLPA,AMAXAN,Yellow-lored Parrot,Amazona xantholora
1143,CPAT,AMALEU,Cuban Parrot,Amazona leucocephala
1144,YBPA,AMACOL,Yellow-billed Parrot,Amazona collaria
1145,HPAT,AMAVEN,Hispaniolan Parrot,Amazona ventralis
1146,PRPO,AMAVIT,Puerto Rican Parrot,Amazona vittata
1147,BBPA,AMAAGI,Black-billed Parrot,Amazona agilis
1148,RCPA,AMAVIR,Red-crowned Parrot,Amazona viridigenalis
1149,LCPA,AMAFIN,Lilac-crowned Parrot,Amazona finschi
1150,RLPA,AMAAUT,Red-lored Parrot,Amazona autumnalis
1151,MEAP,AMAFAR,Mealy Parrot,Amazona farinosa
1152,YHPA,AMAORA,Yellow-headed Parrot,Amazona oratrix
1153,YNPA,AMAAUR,Yellow-naped Parrot,Amazona auropalliata
1154,YCRP,AMAOCH,Yellow-crowned Parrot,Amazona ochrocephala
1155,RNPA,AMAARA,Red-necked Parrot,Amazona arausiaca
1156,SLPA,AMAVER,St. Lucia Parrot,Amazona versicolor
1157,SVPA,AMAGUI,St. Vincent Parrot,Amazona guildingii
1158,IMPA,AMAIMP,Imperial Parrot,Amazona imperialis
1159,RRPA,PSIKRA,Rose-ringed Parakeet,Psittacula krameri
1160,RFLO,AGAROS,Rosy-faced Lovebird,Agapornis roseicollis
1161,SAPA,SAPAEN,Sapayoa,Sapayoa aenigma
1162,LATM,CHILAN,Lance-tailed Manakin,Chiroxiphia lanceolata
1163,LOTM,CHILIN,Long-tailed Manakin,Chiroxiphia linearis
1164,WRMA,CORALT,White-ruffed Manakin,Corapipo altera
1165,GMAK,CRYHOL,Green Manakin,Cryptopipo holochlora
1166,VELM,LEPVEL,Velvety Manakin,Lepidothrix velutina
1167,WCOM,MANCAN,White-collared Manakin,Manacus candei
1168,OCMA,MANAUR,Orange-collared Manakin,Manacus aurantiacus
1169,GCMA,MANVIT,Golden-collared Manakin,Manacus vitellinus
1170,WCRM,PSEPIP,White-crowned Manakin,Pseudopipra pipra
1171,RCMA,CERMEN,Red-capped Manakin,Ceratopipra mentalis
1172,GHMA,CERERY,Golden-headed Manakin,Ceratopipra erythrocephala
1173,PTFR,QUEPUR,Purple-throated Fruitcrow,Querula purpurata
1174,BNUM,CEPGLA,Bare-necked Umbrellabird,Cephalopterus glabricollis
1175,LOCO,COTAMA,Lovely Cotinga,Cotinga amabilis
1176,TUCO,COTRID,Turquoise Cotinga,Cotinga ridgwayi
1177,BLCO,COTNAT,Blue Cotinga,Cotinga nattererii
1178,RUFP,LIPUNI,Rufous Piha,Lipaugus unirufus
1179,TWBE,PROTRI,Three-wattled Bellbird,Procnias tricarunculatus
1180,BTCO,CARHOP,Black-tipped Cotinga,Carpodectes hopkei
1181,YBCO,CARANT,Yellow-billed Cotinga,Carpodectes antoniae
1182,SNCO,CARNIT,Snowy Cotinga,Carpodectes nitidus
1183,NOSC,SCHVER,Northern Schiffornis,Schiffornis veraepacis
1184,RWSC,SCHSTE,Russet-winged Schiffornis,Schiffornis stenorhyncha
1185,SPMO,LANRUF,Speckled Mourner,Laniocera rufescens
1186,MATI,TITSEM,Masked Tityra,Tityra semifasciata
1187,BCRT,TITINQ,Black-crowned Tityra,Tityra inquisitor
1188,BABE,PACVER,Barred Becard,Pachyramphus versicolor
1189,CIRB,PACRUF,Cinereous Becard,Pachyramphus rufus
1190,CIMB,PACCIN,Cinnamon Becard,Pachyramphus cinnamomeus
1191,WWBE,PACPOL,White-winged Becard,Pachyramphus polychopterus
1192,BAWB,PACALB,Black-and-white Becard,Pachyramphus albogriseus
1193,GCBE,PACMAJ,Gray-collared Becard,Pachyramphus major
1194,RTBE,PACAGL,Rose-throated Becard,Pachyramphus aglaiae
1195,OCBE,PACHOM,One-colored Becard,Pachyramphus homochrous
1196,JABE,PACNIG,Jamaican Becard,Pachyramphus niger
1197,SHAR,OXYCRI,Sharpbill,Oxyruncus cristatus
1198,ROFL,ONYCOR,Royal Flycatcher,Onychorhynchus coronatus
1199,RDTF,TERERY,Ruddy-tailed Flycatcher,Terenotriccus erythrurus
1200,TBFL,MYIVIL,Tawny-breasted Flycatcher,Myiobius villosus
1201,SRFL,MYISUL,Sulphur-rumped Flycatcher,Myiobius sulphureipygius
1202,BTFL,MYIATD,Black-tailed Flycatcher,Myiobius atricaudus
1203,GHPI,PIPGRI,Gray-headed Piprites,Piprites griseiceps
1204,SBTS,PLACAN,Stub-tailed Spadebill,Platyrinchus cancrominus
1205,WTRS,PLAMYS,White-throated Spadebill,Platyrinchus mystaceus
1206,GCRS,PLACOR,Golden-crowned Spadebill,Platyrinchus coronatus
1207,OSTF,MIOOLI,Olive-striped Flycatcher,Mionectes olivaceus
1208,OBFL,MIOOLE,Ochre-bellied Flycatcher,Mionectes oleagineus
1209,SECF,LEPAMA,Sepia-capped Flycatcher,Leptopogon amaurocephalus
1210,SLCF,LEPSUP,Slaty-capped Flycatcher,Leptopogon superciliaris
1211,YGTY,PHYFLA,Yellow-green Tyrannulet,Phylloscartes flavovirens
1212,RBTY,PHYSUP,Rufous-browed Tyrannulet,Phylloscartes superciliaris
1213,BOPT,PSEPEL,Bronze-olive Pygmy-Tyrant,Pseudotriccus pelzelni
