,Code,Code6,CommonName,GenusSpecies
182,PVPI,PATCAY,Pale-vented Pigeon,Patagioenas cayennensis
183,SCPI,PATSPE,Scaled Pigeon,Patagioenas speciosa
184,SNPI,PATSQU,Scaly-naped Pigeon,Patagioenas squamosa
185,WCPI,PATLEU,White-crowned Pigeon,Patagioenas leucocephala
186,RBPI,PATFLA,Red-billed Pigeon,Patagioenas flavirostris
187,PLAP,PATINO,Plain Pigeon,Patagioenas inornata
188,PRPP,PATINW,Puerto Rican Plain Pigeon,Patagioenas inornata wetmorei
189,BTPI,PATFAS,Band-tailed Pigeon,Patagioenas fasciata
190,RTAP,PATCAR,Ring-tailed Pigeon,Patagioenas caribaea
191,PLUP,PATPLU,Plumbeous Pigeon,Patagioenas plumbea
192,RUDP,PATSUB,Ruddy Pigeon,Patagioenas subvinacea
193,SBPI,PATNIG,Short-billed Pigeon,Patagioenas nigrirostris
194,DUPI,PATGOO,Dusky Pigeon,Patagioenas goodsoni
195,ORTD,STRORI,Oriental Turtle-Dove,Streptopelia orientalis
196,AFCD,STRROS,African Collared-Dove,Streptopelia roseogrisea
197,EUTD,STRTUR,European Turtle-Dove,Streptopelia turtur
198,EUCD,STRDEC,Eurasian Collared-Dove,Streptopelia decaocto
199,SPDO,STRCHI,Spotted Dove,Streptopelia chinensis
200,ZEBD,GEOSTR,Zebra Dove,Geopelia striata
201,INDO,COLINC,Inca Dove,Columbina inca
202,CGDO,COLPAS,Common Ground Dove,Columbina passerina
203,PBGD,COLMIN,Plain-breasted Ground Dove,Columbina minuta
204,RGDO,COLTAL,Ruddy Ground Dove,Columbina talpacoti
205,BGDO,CLAPRE,Blue Ground Dove,Claravis pretiosa
206,MCGD,PARMOD,Maroon-chested Ground Dove,Paraclaravis mondetoura
207,BHQD,STACYA,Blue-headed Quail-Dove,Starnoenas cyanocephala
208,CRQD,GEOVER,Crested Quail-Dove,Geotrygon versicolor
209,RUQD,GEOMON,Ruddy Quail-Dove,Geotrygon montana
210,VIQD,GEOVIO,Violaceous Quail-Dove,Geotrygon violacea
211,GFQD,GEOCAN,Gray-fronted Quail-Dove,Geotrygon caniceps
212,WFRQ,GEOLEU,White-fronted Quail-Dove,Geotrygon leucometopia
213,KWQD,GEOCHR,Key West Quail-Dove,Geotrygon chrysia
214,BRQD,GEOMYS,Bridled Quail-Dove,Geotrygon mystacea
215,OBQD,LEPVEG,Olive-backed Quail-Dove,Leptotrygon veraguensis
216,WTDO,LEPVEX,White-tipped Dove,Leptotila verreauxi
217,CADO,LEPJAM,Caribbean Dove,Leptotila jamaicensis
218,GCDO,LEPCAS,Gray-chested Dove,Leptotila cassinii
219,GHDO,LEPPLU,Gray-headed Dove,Leptotila plumbeiceps
220,GRDO,LEPWEL,Grenada Dove,Leptotila wellsi
221,TUQD,ZENCAR,Tuxtla Quail-Dove,Zentrygon carrikeri
222,BFQD,ZENCOS,Buff-fronted Quail-Dove,Zentrygon costaricensis
223,PBQD,ZENLAW,Purplish-backed Quail-Dove,Zentrygon lawrencii
224,WFAQ,ZENALB,White-faced Quail-Dove,Zentrygon albifacies
225,CHQD,ZENCHI,Chiriqui Quail-Dove,Zentrygon chiriquensis
226,RCQD,ZENGOL,Russet-crowned Quail-Dove,Zentrygon goldmani
227,WWDO,ZENASI,White-winged Dove,Zenaida asiatica
228,ZEND,ZENAUT,Zenaida Dove,Zenaida aurita
229,EADO,ZENAUC,Eared Dove,Zenaida auriculata
230,MODO,ZENMAC,Mourning Dove,Zenaida macroura
231,SODO,ZENGRA,Socorro Dove,Zenaida graysoni
232,GRTA,CROMAJ,Greater Ani,Crotophaga major
233,SBAN,CROANI,Smooth-billed Ani,Crotophaga ani
234,GBAN,CROSUL,Groove-billed Ani,Crotophaga sulcirostris
235,STCU,TAPNAE,Striped Cuckoo,Tapera naevia
236,PHCU,DROPHA,Pheasant Cuckoo,Dromococcyx phasianellus
237,LEGC,MORERY,Lesser Ground-Cuckoo,Morococcyx erythropygus
238,LERO,GEOVEL,Lesser Roadrunner,Geococcyx velox
239,GRRO,GEOCAL,Greater Roadrunner,Geococcyx californianus
240,RVGC,NEOGEO,Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi
241,COCU,CUCCAN,Common Cuckoo,Cuculus canorus
242,ORCU,CUCOPT,Oriental Cuckoo,Cuculus optatus
243,LITC,COCMIT,Little Cuckoo,Coccycua minuta
244,DWCU,COCPUM,Dwarf Cuckoo,Coccycua pumila
245,SQCU,PIACAY,Squirrel Cuckoo,Piaya cayana
246,DBCU,COCMEL,Dark-billed Cuckoo,Coccyzus melacoryphus
247,YBCU,COCAME,Yellow-billed Cuckoo,Coccyzus americanus
248,PBCU,COCEUL,Pearly-breasted Cuckoo,Coccyzus euleri
249,MACU,COCMIR,Mangrove Cuckoo,Coccyzus minor
250,COCC,COCFER,Cocos Cuckoo,Coccyzus ferrugineus
251,BBCU,COCERY,Black-billed Cuckoo,Coccyzus erythropthalmus
252,GCCU,COCLAN,Gray-capped Cuckoo,Coccyzus lansbergi
253,CBCU,COCPLU,Chestnut-bellied Cuckoo,Coccyzus pluvialis
254,BBRC,COCRUF,Bay-breasted Cuckoo,Coccyzus rufigularis
255,JALC,COCVET,Jamaican Lizard-Cuckoo,Coccyzus vetula
256,PRLC,COCVIE,Puerto Rican Lizard-Cuckoo,Coccyzus vieilloti
257,GRLC,COCMER,Great Lizard-Cuckoo,Coccyzus merlini
258,HILC,COCLON,Hispaniolan Lizard-Cuckoo,Coccyzus longirostris
259,SHTN,LURSEM,Short-tailed Nighthawk,Lurocalis semitorquatus
260,LENI,CHOACU,Lesser Nighthawk,Chordeiles acutipennis
261,CONI,CHOMIN,Common Nighthawk,Chordeiles minor
262,ANNI,CHOGUN,Antillean Nighthawk,Chordeiles gundlachii
263,COPA,NYCALB,Common Pauraque,Nyctidromus albicollis
264,COPO,PHANUT,Common Poorwill,Phalaenoptilus nuttallii
265,JAPA,SIPAME,Jamaican Pauraque,Siphonorhis americana
266,LEPA,SIPBRE,Least Pauraque,Siphonorhis brewsteri
267,EAPO,NYCMCL,Eared Poorwill,Nyctiphrynus mcleodii
268,YUPO,NYCYUC,Yucatan Poorwill,Nyctiphrynus yucatanicus
269,OCPO,NYCOCE,Ocellated Poorwill,Nyctiphrynus ocellatus
